Designator,Mid X,Mid Y,Rotation,Layer
C1,120.5,-105.0,0.0,top
D1,143.23,-93.19,0.0,top
D10,153.23,-113.0,0.0,top
D11,163.23,-113.0,0.0,top
D12,173.23,-113.0,0.0,top
D2,153.23,-93.19,0.0,top
D3,163.23,-93.19,0.0,top
D4,173.23,-93.19,0.0,top
D5,143.23,-102.5,0.0,top
D6,153.23,-102.5,0.0,top
D7,163.23,-102.5,0.0,top
D8,172.995,-102.5,0.0,top
D9,143.23,-113.0,0.0,top
R1,95.0,-82.0,90.0,top
R10,168.0,-102.81,90.0,top
R11,137.735,-113.19,90.0,top
R12,148.5,-113.31,90.0,top
R13,158.0,-113.31,90.0,top
R14,168.0,-113.5,90.0,top
R15,122.0,-112.0,90.0,top
R2,123.0,-94.5,270.0,top
R3,138.0,-93.0,90.0,top
R4,148.5,-93.0,90.0,top
R5,158.0,-93.0,90.0,top
R6,168.0,-92.88,90.0,top
R7,138.0,-102.81,90.0,top
R8,148.5,-102.69,90.0,top
R9,158.0,-102.81,90.0,top
SW1,101.25,-91.25,0.0,top
SW2,129.75,-114.25,0.0,top
U1,130.19,-98.69,0.0,top
U2,115.69,-94.77,0.0,top
